100,1.37281e-09
200,4.42165e-05
300,4.43378e-05
400,0.000335341
500,0.000335831
600,0.000632948
700,0.000632765
800,0.000632935
900,0.0006338
1000,0.000633029
1100,0.000632788
1200,0.000633046
1300,0.000632847
1400,0.000633156
1500,0.000632818
1600,0.000633205
1700,0.000632888
1800,0.000633334
1900,0.000632867
2000,0.000633453
2100,0.000632948
2200,0.000632765
2300,0.000632935
2400,0.0006338
2500,0.000633029
TEST PARAMETERS
Number of bloom filters in FBF,3
Constituent Filter bits, 6250
Number of hash functions,3
Refresh Rate,5
Batch Operations,75
Invalid check,2000000

